video_id,channel_name,category
SIFvY06_-1Q,AlJazeeraEnglish,news
qNoxt-I6MOY,AlJazeeraEnglish,news
k_GM1JA608Y,dave2d,technology
aHKqhRjRkbE,dave2d,technology
sSgqyd2Mcdc,dave2d,technology
mdRpgWYWCZg,dave2d,technology
JKx9P1F8pww,dave2d,technology
S5-12O3kiho,dave2d,technology
YyMiZCXRMQY,dave2d,technology
FSmXA01l-_8,dave2d,technology
_e7JTaPMf7Q,dave2d,technology
Ws7S5lXw7zk,dave2d,technology
iHzzSao6ypE,CGPGrey,knowledge
oAHbLRjF0vo,CGPGrey,knowledge
qMkYlIA7mgw,CGPGrey,knowledge
kF8I_r9XT7A,CGPGrey,knowledge
wOmjnioNulo,CGPGrey,knowledge
rNu8XDBSn10,CGPGrey,knowledge
rStL7niR7gs,CGPGrey,knowledge
jNgP6d9HraI,CGPGrey,knowledge
uqH_Y1TupoQ,CGPGrey,knowledge
7Pq-S557XQU,CGPGrey,knowledge
xGmh2fdui_Y,MinorityMindset,finance
BkCmAfliYlM,MinorityMindset,finance
qwkU6TPk80A,MinorityMindset,finance
AmkCNJ1s-18,MinorityMindset,finance
248o4zc9RmI,MinorityMindset,finance
HE_6tTwPSGk,MinorityMindset,finance
Dq9HA66AsYU,MinorityMindset,finance
7VwGYfcKSLc,MinorityMindset,finance
qcY-mTfV01A,MinorityMindset,finance
JaIgHxGUSVE,MinorityMindset,finance
Pu0Wlhs1BGE,SkySports,sports
rnKk3fTncro,SkySports,sports
ZagTrKQYgvU,SkySports,sports
MCSq3_aM-hY,SkySports,sports
X_8ZnmIH3v4,SkySports,sports
3N2vJu-GqxA,SkySports,sports
2yX5VeEBSj0,SkySports,sports
lllfRRRezL8,SkySports,sports
mY1TgBun8s8,SkySports,sports
Q28Z3FexhJA,SkySports,sports
VJwoSfTOhyM,DudePerfect,entertainment
VRJmcxCrAOA,DudePerfect,entertainment
UeG1ftTmLAg,DudePerfect,entertainment
8IQbF0IK-f4,DudePerfect,entertainment
A2FsgKoGD04,DudePerfect,entertainment
ym9E1YG3_QQ,DudePerfect,entertainment
UtsfUAHkyWQ,DudePerfect,entertainment
ggR_SPwP6cw,DudePerfect,entertainment
uPCi5Rs7EuA,DudePerfect,entertainment
3J6o7hcm8bE,DudePerfect,entertainment
0lQD-SnN57Y,BrianLagerstrom,cooking
5mehXzl7yHA,BrianLagerstrom,cooking
vrFQkLyGLzc,BrianLagerstrom,cooking
VEtU4Co08yY,BrianLagerstrom,cooking
LzWb_P4lYgA,BrianLagerstrom,cooking
eVuXwv1yxo0,BrianLagerstrom,cooking
-4PZHHCUJZc,BrianLagerstrom,cooking
jA95tUK2RZU,BrianLagerstrom,cooking
Xl0TTag8Gks,BrianLagerstrom,cooking
HWG4fF-7eC4,BrianLagerstrom,cooking
ityEaDi_2Vc,penguinz0,comedy
DWWK05t98os,penguinz0,comedy
s4mGOrbEKbs,penguinz0,comedy
eMKjfbIPAtM,penguinz0,comedy
GKnMsNL4lhQ,penguinz0,comedy
623AC6a6org,penguinz0,comedy
cp2PhE26ouQ,penguinz0,comedy
RyWuy_OA288,penguinz0,comedy
foSAi-olfck,penguinz0,comedy
ihhgZlD5Uuo,penguinz0,comedy
YNaBoKLX52M,TryGuys,comedy
Yaui2pL26ZQ,TryGuys,comedy
FWYsvw_U3Zw,TryGuys,comedy
qpipLfMiaYU,TryGuys,comedy
-mgqMpWKEBk,TryGuys,comedy
JoGjIRVY9t4,TryGuys,comedy
4H5--Qy3h9Q,TryGuys,comedy
Ev3__YJJH3M,TryGuys,comedy
y6GNrpcXtqM,TryGuys,comedy
d25HklopoSs,TryGuys,comedy
FhllRWReNEE,safiya,fashion
s3B-qp3U5G0,safiya,fashion
dqcSk-EDrRo,safiya,fashion
W8uXhQnWgj4,safiya,fashion
LfeEu4_vtfQ,safiya,fashion
a9m3GD0DbPY,safiya,fashion
lGSOWwUvJiU,safiya,fashion
oMF6pIglmmk,safiya,fashion
mcZdTvOqmvI,safiya,fashion
MzSktgpfD84,safiya,fashion
Vjv5KGiteJE,modernwisdom,podcast
1Fw0B9TXDwg,modernwisdom,podcast
kgOlkB1Up_g,modernwisdom,podcast
te_PeBz-Frs,modernwisdom,podcast
BDiOqO62cs4,modernwisdom,podcast
kFruMFtFtgo,modernwisdom,podcast
NopVo25RGyU,modernwisdom,podcast
G89VX-yFcEg,modernwisdom,podcast
ux8CG59PV1M,modernwisdom,podcast
dU38peqNvNU,modernwisdom,podcast
